Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2019 Toyota Rush G 1.5L AT,200000000,90000,Bensin,Unknown,Tangerang,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-rush-g-1-5l-at-598643,oto
2013 Honda Jazz  1.5L S AT,135000000,90000,Bensin,Otomatis,Tangerang,5,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-jazz-2008-2013-1-5l-s-at-598638,oto
2020 Honda HRV  E SE 1.5L AT,290000000,23000,Bensin,Unknown,Depok,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-hr-v-2019-2021-e-se-1-5l-at-598045,oto
2014 Honda Mobilio  1.5 E M CVT CKD,130000000,98000,Bensin,Unknown,Jakarta Utara,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-1-5-e-m-cvt-ckd-597689,oto
2018 Honda Mobilio  S  MT,159000000,45000,Bensin,Manual,Surabaya,6,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-s-mt-596200,oto
2011 Daihatsu Xenia  1.3 DLX PLUS VVTi M/T,105000000,138000,Bensin,Unknown,Surabaya,0,Unknown,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2009-2018-1-3-dlx-plus-vvti-mt-594493,oto
2015 Honda CR-V  2.0L MT,245000000,66000,Bensin,Unknown,Surabaya,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2012-2017-2-0l-mt-591342,oto
2020 Toyota Innova V Bensin 2.0L MT,332000000,29768,Bensin,Unknown,Bekasi,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-innova-v-bensin-2-0l-mt-544113,oto
2019 Toyota Yaris TRD Sportivo CVT,210000000,84585,Bensin,Cvt,Bekasi,5,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-yaris-trd-sportivo-cvt-557924,oto
2019 Toyota Yaris TRD Sportivo CVT,215000000,45661,Bensin,Cvt,Bekasi,5,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-yaris-trd-sportivo-cvt-558305,oto
2019 Toyota Yaris TRD Sportivo CVT,228000000,52953,Bensin,Cvt,Bekasi,5,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-yaris-trd-sportivo-cvt-556932,oto
2019 Toyota Innova BENSIN V 2.0 AT,329000000,60917,Bensin,Unknown,Bekasi,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-innova-bensin-v-2-0-at-547801,oto
2016 Honda Jazz  RS CVT,1865000000,50000,Bensin,Cvt,Tangerang,5,1497 CC,https://www.oto.com/detail-mobil-bekas/honda-jazz-2014-2018-rs-cvt-621807,oto
2009 Toyota Avanza  1.5 G MT,88000000,70000,Bensin,Manual,Tangerang,7,1495 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-2003-2011-2009-1-5-g-mt-607902,oto
2018 Honda Jazz  RS CVT A/T,2135000000,60000,Bensin,Unknown,Tangerang,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-jazz-2014-2018-rs-cvt-at-603733,oto
2018 Daihatsu Xenia  1.3 R AT CST,1355000000,70000,Bensin,Unknown,Tangerang,0,Unknown,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2009-2018-1-3-r-at-cst-603613,oto
2016 Toyota Fortuner  4x2 2.4 G M/T DSL LUX,310000000,56250,Diesel,Unknown,Tangerang Selatan,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-2011-2016-4x2-2-4-g-mt-dsl-lux-635842,oto
2023 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,550000000,11000,Diesel,Otomatis,Jakarta Utara,7,2755 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-4x2-2-8-gr-sport-at-dsl-635327,oto
2018 Toyota Calya G AT,112000000,62000,Bensin,Otomatis,Tangerang,7,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-calya-g-at-633955,oto
2013 Nissan Grand Livina  1.5 SV AT,115000000,98000,Bensin,Unknown,Bantul,0,Unknown,https://www.oto.com/detail-mobil-bekas/nissan-grand-livina-2011-2013-1-5-sv-at-633987,oto
2017 Nissan Grand Livina 1.5 XV CVT,130000000,107316,Bensin,Cvt,Bogor,7,1498 CC,https://www.oto.com/detail-mobil-bekas/nissan-grand-livina-1-5-xv-cvt-633380,oto
2015 Suzuki Ertiga GX MT,138000000,124426,Bensin,Manual,Depok,7,1462 CC,https://www.oto.com/detail-mobil-bekas/suzuki-ertiga-gx-mt-616929,oto
2018 Daihatsu Ayla 1.2L R AT,115000000,80000,Bensin,Otomatis,Bandung,5,1197 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-1-2l-r-at-624008,oto
2015 Toyota Agya  1.2 G AT,88000000,60000,Bensin,Unknown,Tangerang,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-agya-2013-2018-1-2-g-at-616273,oto
2015 Suzuki Ertiga  GL MT,128000000,125000,Bensin,Manual,Semarang,7,1373 CC,https://www.oto.com/detail-mobil-bekas/suzuki-ertiga-2012-2018-gl-mt-621887,oto
2012 Toyota Avanza Veloz  1.5 AT,128000000,180000,Bensin,Otomatis,Semarang,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-veloz-2011-2015-1-5-at-621891,oto
2012 Toyota Kijang Innova 2.0 G AT LUX,168000000,126000,Bensin,Unknown,Semarang,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-2-0-g-at-lux-621895,oto
2013 Suzuki Ertiga  GX MT,121000000,97000,Bensin,Manual,Madiun,7,1373 CC,https://www.oto.com/detail-mobil-bekas/suzuki-ertiga-2012-2018-gx-mt-614548,oto
2010 Honda Jazz RS CVT,142000000,130000,Bensin,Cvt,Kediri,5,1497 CC,https://www.oto.com/detail-mobil-bekas/honda-jazz-rs-cvt-618455,oto
2019 Toyota Veloz 1.5L AT,185000000,45000,Bensin,Unknown,Jakarta Selatan,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-avanza-veloz-1-5l-at-616544,oto
2012 Honda CR-V  1.5 CVT PRESTIGE,192000000,76000,Bensin,Unknown,Tangerang,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2012-2017-1-5-cvt-prestige-616235,oto
2018 Honda CR-V  1.5L Turbo,348000000,60000,Bensin,Cvt,Jakarta Utara,7,1498 CC,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2018-2022-1-5l-turbo-607957,oto
2001 Toyota Kijang  1.8L SGX,685000000,135000,Bensin,Manual,Jakarta Timur,8,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-613107,oto
2017 Honda Brio Satya E M/T,125000000,25000,Bensin,Manual,Surabaya,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-mt-612457,oto
2021 Toyota Kijang Innova REBORN 2.4 G MT DIESEL,355000000,20000,Diesel,Unknown,Surabaya,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-reborn-2-4-g-mt-diesel-611560,oto
2014 Daihatsu Ayla  X Elegant MT,93000000,73000,Bensin,Manual,Surabaya,5,998 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-2013-2018-x-elegant-mt-599993,oto
2018 Honda Brio  Satya E MT,122000000,63000,Bensin,Manual,Jakarta Timur,5,1198 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-2016-2018-satya-e-mt-606878,oto
2005 Honda HRV  1.8 Prestige,242000000,80000,Bensin,Otomatis,Bekasi,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-hr-v-2015-2018-1-8-prestige-605276,oto
2020 Toyota Calya G AT,145000000,42957,Bensin,Otomatis,Tangerang Selatan,7,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-calya-g-at-603628,oto
2018 Honda HRV  1.5 E AT,235000000,29000,Bensin,Unknown,Depok,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-hr-v-2015-2018-1-5-e-at-603282,oto
2017 Toyota Kijang Innova 2.0 G AT,258000000,75000,Bensin,Unknown,Jakarta Timur,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-kijang-innova-2-0-g-at-603224,oto
2017 Toyota Avanza  1.3 G M/T,1395000000,90000,Bensin,Manual,Tangerang Selatan,7,1329 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-2009-2018-1-3-g-mt-600677,oto
2021 Honda CR-V  1.5L Turbo Prestige,510000000,23000,Bensin,Cvt,Jakarta Pusat,7,1498 CC,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2018-2022-1-5l-turbo-prestige-598021,oto
2021 Toyota Yaris 1.5 S CVT GR Sport 7 AB,245000000,13000,Bensin,Cvt,Jakarta Utara,5,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-yaris-1-5-s-cvt-gr-sport-7-ab-602134,oto
