Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2010 Daihatsu Xenia 1.3 Xi MPV AT Rawatan Siap Pakai,88000000.0,107500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-xi-dki-jakarta-duren-sawit/14273000
2012 Nissan March 1.2 1.2L Hatchback DP 8jt,88000000.0,127500.0,Pertamax,N/A,Sidoarjo,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-jawa-timur-sidoarjo/14958934
2015 Suzuki APV 1.5 GL Arena Van,90000000.0,112500.0,Pertamax,N/A,Jakarta Barat,8.0,N/A,https://www.mobil123.com/dijual/suzuki-apv-gl-arena-dki-jakarta-cengkareng/14958403
2014 Toyota Agya 1.0 G Hatchback MANUAL SILVER CICILAN RENDAH 2.2JT,85000000.0,82500.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/toyota-agya-g-dki-jakarta-cinere/14654768
"2008 Toyota Yaris 1,5 S Limited Hatchback",80000000.0,128000.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/toyota-yaris-s-limited-dki-jakarta-pademangan/14955991
2017 Daihatsu Ayla 1.0 X Hatchback,90000000.0,22500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-cideng/14953944
2013 Daihatsu Ayla 1.0 X Hatchback / DP 5 JT,85000000.0,47500.0,Pertamax,N/A,Bandung,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-barat-bandung/14952328
2000 Toyota Kijang 2.4 Krista Diesel MPV Mt Istimewa Bisa Kredit Mobil Bekas Malang,90000000.0,1234.0,Solar,N/A,Malang,8.0,N/A,https://www.mobil123.com/dijual/toyota-kijang-krista-jawa-timur-malang-kota/14952175
2004 Toyota Kijang Innova 2.0 G MPV Bensin Mt Bisa Kredit Dp 15jt Mobil Bekas Malang,90000000.0,123456.0,Pertamax,N/A,Malang,8.0,N/A,https://www.mobil123.com/dijual/toyota-kijang-innova-g-jawa-timur-malang-kota/13426271
2009 Daihatsu Gran Max 1.5 D Van plat ag sis mobil bekas bisa tukar tambah sekoto kediri,85000000.0,177500.0,Pertamax,N/A,Kediri,9.0,N/A,https://www.mobil123.com/dijual/daihatsu-gran-max-d-jawa-timur-pare/14950981
2012 Nissan Evalia 1.5 XV MPV,88000000.0,92500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/nissan-evalia-xv-dki-jakarta-lubang-buaya/14893577
2013 Nissan March 1.2 1.2L Hatchback,80000000.0,117500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-banten-ciputat/14718973
2012 Nissan Serena 2.0 Comfort Touring MPV,90000000.0,122500.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/nissan-serena-comfort-touring-banten-ciputat/14719091
